#case_id:recorder_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
1625 1.72109996e-7 -1.55230021e+0
1630 1.66139760e-7 -1.55174681e+0
1635 1.59880126e-7 -1.55100374e+0
1640 1.53253436e-7 -1.55000838e+0
1645 1.46164547e-7 -1.54866779e+0
1650 1.38494367e-7 -1.54683961e+0
1655 1.30090548e-7 -1.54429705e+0
1660 1.20753798e-7 -1.54066052e+0
1665 1.10217149e-7 -1.53525265e+0
1670 9.81137959e-8 -1.52675709e+0
1675 8.39261626e-8 -1.51228964e+0
1680 6.69065896e-8 -1.48426488e+0
1685 4.59855791e-8 -1.41525568e+0
1690 2.03657515e-8 -1.09808841e+0
1695 2.27271907e-8 9.65414456e-1
1700 7.43256855e-8 1.30177751e+0
1705 1.58966171e-7 1.35321347e+0
1710 3.16277399e-7 1.33683806e+0
1715 7.06746834e-7 1.22897193e+0
1720 2.50941348e-6 5.33526291e-1
1725 1.53100961e-6 -1.14851498e+0
1730 8.23294043e-7 -1.38827104e+0
1735 5.97216936e-7 -1.45765912e+0
1740 4.87487460e-7 -1.48923245e+0
1745 4.22465160e-7 -1.50682667e+0
1750 3.79197965e-7 -1.51784001e+0
1755 3.48127337e-7 -1.52527922e+0
1760 3.24572278e-7 -1.53058301e+0
1765 3.05972199e-7 -1.53452016e+0
1770 2.90808715e-7 -1.53753583e+0
1775 2.78124210e-7 -1.53990400e+0
1780 2.67284538e-7 -1.54180161e+0
1785 2.57852734e-7 -1.54334742e+0
1790 2.49517553e-7 -1.54462376e+0
1795 2.42050925e-7 -1.54568920e+0
1800 2.35281552e-7 -1.54658632e+0
1805 2.29077908e-7 -1.54734664e+0
1810 2.23336947e-7 -1.54799377e+0
1815 2.17976400e-7 -1.54854563e+0
1820 2.12929375e-7 -1.54901580e+0
1825 2.08140492e-7 -1.54941459e+0
1830 2.03563043e-7 -1.54974971e+0
1835 1.99156868e-7 -1.55002670e+0
1840 1.94886715e-7 -1.55024930e+0
1845 1.90720941e-7 -1.55041960e+0
1850 1.86630456e-7 -1.55053811e+0
1855 1.82587810e-7 -1.55060375e+0
1860 1.78566384e-7 -1.55061370e+0
1865 1.74539619e-7 -1.55056315e+0
1870 1.70480240e-7 -1.55044484e+0
1875 1.66359423e-7 -1.55024848e+0
1880 1.62145859e-7 -1.54995975e+0
1885 1.57804628e-7 -1.54955888e+0
1890 1.53295813e-7 -1.54901852e+0
1895 1.48572717e-7 -1.54830048e+0
1900 1.43579499e-7 -1.54735058e+0
1905 1.38247968e-7 -1.54609037e+0
1910 1.32493124e-7 -1.54440332e+0
1915 1.26206792e-7 -1.54211062e+0
1920 1.19248324e-7 -1.53892683e+0
1925 1.11430655e-7 -1.53437302e+0
1930 1.02498826e-7 -1.52759278e+0
1935 9.20960712e-8 -1.51691969e+0
1940 7.97094453e-8 -1.49870588e+0
1945 6.45860069e-8 -1.46341732e+0
1950 4.56553381e-8 -1.37734893e+0
1955 2.24558334e-8 -1.01439523e+0
1960 2.43760289e-8 7.75466471e-1
1965 7.74959185e-8 1.19229750e+0
1970 1.75311863e-7 1.24520965e+0
1975 3.90404052e-7 1.17572224e+0
1980 1.12007643e-6 7.74666549e-1
1985 1.45878112e-6 -8.32013855e-1
1990 7.37791837e-7 -1.30185058e+0
1995 5.18230365e-7 -1.41647516e+0
2000 4.18276378e-7 -1.46423380e+0
