#case_id:flow_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
1100 7.64692089e-7 -1.55482435e+0
1105 6.77403586e-7 -1.55495522e+0
1110 6.00814494e-7 -1.55485554e+0
1115 5.32609371e-7 -1.55452231e+0
1120 4.71063691e-7 -1.55393513e+0
1125 4.14862488e-7 -1.55305280e+0
1130 3.62981356e-7 -1.55180541e+0
1135 3.14606045e-7 -1.55007897e+0
1140 2.69076710e-7 -1.54768537e+0
1145 2.25848371e-7 -1.54430037e+0
1150 1.84462353e-7 -1.53932368e+0
1155 1.44525683e-7 -1.53151768e+0
1160 1.05697671e-7 -1.51787387e+0
1165 6.76904785e-8 -1.48872522e+0
1170 3.03727135e-8 -1.38710773e+0
1175 9.37608953e-9 9.32494068e-1
1180 4.53391285e-8 1.44549221e+0
1185 8.29742877e-8 1.50097089e+0
1190 1.21324571e-7 1.52166917e+0
1195 1.60622264e-7 1.53232450e+0
1200 2.01181294e-7 1.53870258e+0
1205 2.43366271e-7 1.54285225e+0
1210 2.87599978e-7 1.54568130e+0
1215 3.34380299e-7 1.54765038e+0
1220 3.84304508e-7 1.54901458e+0
1225 4.38102832e-7 1.54992265e+0
1230 4.96685369e-7 1.55046251e+0
1235 5.61208999e-7 1.55068361e+0
1240 6.33175185e-7 1.55060806e+0
1245 7.14576917e-7 1.55023540e+0
1250 8.08126491e-7 1.54954293e+0
1255 9.17621478e-7 1.54848195e+0
1260 1.04855796e-6 1.54696846e+0
1265 1.20921093e-6 1.54486475e+0
1270 1.41265750e-6 1.54194351e+0
1275 1.68086625e-6 1.53781402e+0
1280 2.05381685e-6 1.53175659e+0
1285 2.61272188e-6 1.52229976e+0
1290 3.55155137e-6 1.50591468e+0
1295 5.47537176e-6 1.47154494e+0
1300 1.16639814e-5 1.35840191e+0
1305 4.41034584e-5 -6.40414971e-1
1310 8.88370143e-6 -1.40638316e+0
1315 4.75611334e-6 -1.48122433e+0
1320 3.22584419e-6 -1.50835788e+0
